children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
0,395728.36139811255,59,average,1,widower/widow,2,F,pensioner,0,87268.77878594003,purchasing a car
0,-1177.0553834454738,43,average,1,Single/not married,4,F,employee,0,177790.01385692504,buying your own home
0,-60.6373275553343,37,average,1,civil marriage,1,F,employee,0,212257.2125065801,get married
0,,26,average,1,civil marriage,1,F,companion,1,,buying a home for a family
1,-8164.333209415941,49,average,1,civil marriage,1,F,employee,0,81419.70340277969,wedding
1,-166.26503703628762,35,higher,0,civil marriage,1,M,companion,1,272193.00295690284,obtaining additional education
0,369682.2227151696,57,higher,0,married,0,M,pensioner,0,141337.86704165823,buying a rental property
0,-5026.2294602728525,32,average,1,civil marriage,1,M,employee,1,160905.70703999972,obtaining additional education
0,-225.1236894800484,34,average,1,divorced,3,F,employee,0,201650.35527091235,commercial real estate transactions
0,-876.8431101663022,46,higher,0,civil marriage,1,F,employee,0,260037.6656030533,higher education
0,-99.19594695041458,48,average,1,married,0,M,employee,0,173544.6795225835,buying your own home
1,,30,average,1,Single/not married,4,F,employee,0,,your car
0,-335.5229563354112,26,average,1,civil marriage,1,M,companion,0,160891.47206000533,for a wedding
0,336562.0164318586,60,AVERAGE,1,married,0,F,pensioner,0,173948.35223498062,higher education
0,-2573.1367803783523,47,average,1,married,0,M,employee,0,218442.0077563275,your car
0,386330.8511360464,60,higher,0,divorced,3,F,pensioner,0,97191.99640027812,to buy a used car
0,-98.31216168444011,24,average,1,civil marriage,1,M,companion,0,135860.8870305674,getting an education
0,-117.12788647939188,51,average,1,married,0,F,employee,0,255838.3616801636,additional education
0,-1589.7814009573162,37,higher,0,married,0,F,companion,0,160754.5480823424,buying your own home
0,-12136.131380846336,59,higher,0,married,0,F,employee,0,140849.62459987565,buying a property
0,-1403.0808299019186,52,average,1,Single/not married,4,F,companion,0,139169.41346167913,to buy your car
1,-223.5470176888244,23,Average,1,widower/widow,2,F,employee,0,58549.627394318864,used car deal
0,-5532.372185033889,41,average,1,civil marriage,1,F,employee,0,201126.0474025323,real estate construction
0,-6542.460790155981,39,average,1,married,0,F,companion,0,86996.80722956106,purchase of residential property
1,-1575.3235775718508,38,average,1,married,0,F,employee,1,90960.94119189213,purchase of residential property
0,-2829.665755236844,56,AVERAGE,1,married,0,M,employee,0,163774.77340601108,construction of your own real estate
0,334637.4644627627,61,average,1,married,0,F,pensioner,0,181307.7994224636,residential real estate construction
1,,31,higher,0,married,0,F,employee,0,,to buy a used car
0,363924.8816676821,54,Average,1,married,0,F,pensioner,0,267172.7091996921,getting an education
0,-1352.3179068855802,37,average,1,Single/not married,4,F,employee,0,112735.87896430984,buying your own home
0,-749.1756772991432,22,average,1,civil marriage,1,M,companion,0,162492.01844851565,specialized education
2,-271.5705315052388,38,higher,0,married,0,F,employee,0,195133.38745708505,commercial real estate transactions
2,342167.21211236675,55,initial,3,widower/widow,2,F,pensioner,0,160635.12034694868,residential real estate construction
0,-577.2734342991156,41,initial,3,civil marriage,1,F,employee,0,36649.0784390092,used car deal
0,-5863.259029756954,48,higher,0,Single/not married,4,M,civil servant,0,239697.6161592209,purchasing a car
1,-703.2435102199611,38,higher,0,civil marriage,1,M,employee,1,231389.8327944069,to buy a car
2,-1321.0792231329488,41,incomplete higher education,2,married,0,F,employee,0,314546.9933727884,buying a home for a family
0,-79.88034967664467,42,higher,0,Single/not married,4,F,companion,0,260465.3944997188,real estate transactions
0,-356.1311943614808,22,higher,0,civil marriage,1,F,employee,0,118757.77013512445,education
0,384569.9216399707,54,average,1,civil marriage,1,F,pensioner,0,269589.0051292617,construction of your own real estate
1,-2924.5983864777645,34,average,1,married,0,F,employee,1,213214.0924519784,to buy your car
0,-597.2734021772915,21,incomplete higher education,2,civil marriage,1,F,companion,0,86954.92246460478,commercial real estate transactions
1,,23,incomplete higher education,2,civil marriage,1,F,companion,0,,get married
0,383772.1713231299,65,average,1,widower/widow,2,F,pensioner,0,178464.0801124702,cars
0,-145.541617523979,32,higher,0,married,0,M,companion,0,188982.6725700104,purchase of residential property
0,337679.3582702238,61,average,1,divorced,3,F,pensioner,0,110251.170412476,commercial real estate transactions
2,-1024.9491604702278,41,average,1,married,0,F,companion,0,94587.13139055832,buying your own home
0,-434.9313375154888,52,average,1,married,0,F,employee,0,153892.26560479988,real estate construction
1,-2066.908426077889,30,average,1,married,0,F,civil servant,0,132754.36261306456,obtaining higher education
1,-1588.8316419325315,64,higher,0,civil marriage,1,F,employee,0,142424.64353092152,housing
0,339193.0942916696,60,average,1,Single/not married,4,F,pensioner,0,190426.12751817648,home renovation
0,336747.83528374555,73,average,1,widower/widow,2,F,pensioner,0,136897.0083753175,used car deal
1,-2049.211575996865,28,average,1,civil marriage,1,M,companion,1,188585.6447572717,wedding
1,-144.18585382423603,41,AVERAGE,1,married,0,F,employee,1,112090.59753315602,buying a home for a family
0,-3803.807419355826,49,average,1,civil marriage,1,F,employee,0,74616.8762361815,wedding
1,-1475.697490068114,50,average,1,married,0,F,employee,0,143391.0714239233,to buy a car
0,-5865.31500734791,52,average,1,Single/not married,4,F,employee,0,140447.6939909726,specialized education
0,-1031.9076040874072,50,average,1,married,0,F,employee,0,125165.9401116094,housing
0,395825.13252984686,59,average,1,married,0,F,pensioner,0,142956.54589458782,to buy a car
2,-2585.402858170127,37,average,1,married,0,M,employee,0,202689.7570034978,buying a property
0,-708.0735831904608,44,average,1,civil marriage,1,F,employee,0,235437.4092191936,for a wedding
0,-5267.841785143054,43,average,1,married,0,M,employee,0,436688.7692746029,real estate transactions
0,-4973.641484774767,47,average,1,widower/widow,2,F,companion,0,132797.24369500572,purchase of commercial real estate
0,,47,average,1,married,0,M,employee,0,,construction of your own real estate
0,,58,average,1,married,0,F,civil servant,0,,buying your own home
0,-464.6341336266803,49,higher,0,civil marriage,1,M,companion,0,383743.1531675507,wedding
0,-879.5873497728171,48,average,1,civil marriage,1,F,employee,0,130945.6108646336,higher education
0,-1933.31899355189,50,Average,1,divorced,3,M,employee,0,197169.81331307805,purchase of residential property
1,-1598.8702140303076,40,average,1,married,0,F,companion,0,158350.07693986595,real estate construction
1,,60,higher,0,married,0,F,pensioner,1,,pursue higher education
0,-3132.180734195495,31,average,1,married,0,M,employee,0,259511.2005023471,purchase of residential property
0,-1615.9148140204693,29,higher,0,married,0,F,employee,0,188190.33840575285,obtaining higher education
0,,54,higher,0,married,0,F,employee,0,,used car deal
0,380628.3793297923,71,average,1,widower/widow,2,F,pensioner,0,138877.16323401802,purchase of commercial real estate
1,-5793.741211736386,35,average,1,married,0,F,companion,0,230040.1246407123,home purchase
0,357915.03630280367,63,average,1,widower/widow,2,F,pensioner,0,91947.7686715459,obtaining higher education
2,-940.6004540822236,44,HIGHER,0,married,0,F,companion,0,327126.7382980421,housing
0,-6373.865375741792,45,average,1,married,0,M,employee,0,119879.15451388426,home purchase
0,-1681.6645489757752,52,average,1,married,0,F,employee,0,82913.07958533696,additional education
0,-874.8530628222733,49,higher,0,married,0,M,employee,0,204544.9473772695,housing transactions
1,-930.0835695908776,47,average,1,civil marriage,1,M,employee,0,149082.6978115048,wedding
0,-1611.5705027263714,29,higher,0,civil marriage,1,F,employee,0,211975.5093212032,wedding
1,-1710.1403339177082,29,average,1,civil marriage,1,F,companion,0,286533.8601919884,buying a home for a family
0,-2658.4860825068777,51,average,1,married,0,F,companion,0,143913.54889214569,housing transactions
0,-1617.8403552782231,44,average,1,married,0,F,employee,0,168586.38983165554,buying a property
0,383664.7812096172,52,average,1,married,0,F,pensioner,0,75225.8329878206,residential real estate construction
2,,40,average,1,divorced,3,F,employee,0,,real estate
2,-2888.5517238004663,48,average,1,married,0,M,companion,0,215985.44144559512,real estate construction
0,330174.4847063083,59,average,1,married,0,F,pensioner,0,93391.58176538996,real estate
0,333718.49112749967,68,Higher,0,married,0,F,pensioner,0,161112.5201914575,commercial real estate transactions
2,-2875.499547903885,29,higher,0,Single/not married,4,M,employee,0,266641.9942621301,home purchase
2,-146.00066306283634,37,average,1,married,0,F,employee,1,80334.09573086095,to buy a used car
3,-1872.663186426345,0,average,1,married,0,F,employee,0,102166.4588936468,home renovation
0,348537.5001330709,66,average,1,widower/widow,2,F,pensioner,0,61441.44474867713,automobile
0,-5538.96373102039,35,initial,3,civil marriage,1,M,employee,1,123814.07946812904,engage in education
0,396814.1840801792,57,average,1,Single/not married,4,F,pensioner,0,90523.5355423185,pursue higher education
2,-1945.3766760759029,25,average,1,civil marriage,1,M,companion,0,330328.4946763029,get married
0,-1481.2761428816516,44,average,1,married,0,F,employee,0,47871.33938374737,purchase of commercial real estate
0,-8631.590122353682,64,average,1,married,0,F,employee,0,160814.51199711685,home renovation
1,-2725.9705734796325,46,average,1,civil marriage,1,M,employee,0,122263.2084960992,get married
1,,23,Average,1,civil marriage,1,F,employee,1,,automobile
0,,44,Average,1,civil marriage,1,F,employee,0,,operations with your real estate
0,,66,average,1,married,0,F,pensioner,0,,housing transactions
1,-1912.6526781783864,44,average,1,married,0,M,companion,0,207375.3648413696,home renovation
2,-4016.445178900168,33,average,1,married,0,M,employee,0,231068.86427388425,home purchase
0,384733.816032242,56,average,1,widower/widow,2,F,pensioner,0,162416.13776348683,to buy your car
0,-9488.078233698932,63,higher,0,married,0,F,employee,0,103078.01739352528,cars
0,-877.6474187514337,50,average,1,married,0,M,companion,1,81863.1143896799,pursue higher education
0,-9854.773564031651,45,average,1,married,0,F,employee,0,104614.11552672985,to buy a used car
0,-1382.864823354735,47,average,1,married,0,M,employee,1,143042.6143061349,buying your own home
0,-1303.9577949784834,28,average,1,married,0,F,employee,0,86117.27068691894,construction of your own real estate
1,-710.680916165844,44,average,1,married,0,F,employee,0,153439.59682458098,home renovation
0,-1006.2400540838852,35,average,1,married,0,M,companion,0,160483.24249017154,obtaining additional education
-1,-4417.703587995504,46,average,1,civil marriage,1,F,employee,0,102816.34641219962,specialized education
0,-3675.617929176691,56,average,1,married,0,F,employee,0,133383.55014196248,real estate
0,360701.1265676916,65,average,1,married,0,F,pensioner,0,169009.30755037052,real estate
4,-2220.384764836021,36,higher,0,civil marriage,1,F,employee,0,335024.67260219104,wedding
0,-884.5458974260507,27,average,1,civil marriage,1,F,companion,0,112633.04114621964,to buy a used car
0,-741.1272798825229,43,HIGHER,0,married,0,F,employee,0,203323.3699341789,buying a rental property
0,-471.7627961551879,45,average,1,married,0,F,employee,1,143383.36617576444,real estate construction
1,-1082.79895063531,44,average,1,married,0,F,companion,0,111147.24916081678,used car deal
0,-1433.3817756275732,28,higher,0,married,0,F,employee,0,235583.3316346708,commercial real estate transactions
1,-359.1939748533992,33,AVERAGE,1,civil marriage,1,M,employee,0,223001.62399356245,for a wedding
0,-848.5856662408221,53,AVERAGE,1,married,0,M,employee,1,174396.10218061123,real estate construction
2,-259.73715538018814,49,initial,3,civil marriage,1,F,employee,0,194077.33155139207,purchase of commercial real estate
2,-1684.7284630848926,25,average,1,Single/not married,4,F,civil servant,0,63048.05403875315,additional education
0,367142.9473589339,66,average,1,married,0,F,pensioner,0,92974.01277941283,commercial real estate transactions
2,-7381.422128841863,36,average,1,divorced,3,F,employee,1,45033.203066728005,real estate
0,-801.5095055216783,61,average,1,married,0,F,companion,0,138248.76246547073,residential real estate construction
0,-223.3644276045744,22,average,1,Single/not married,4,F,civil servant,0,127677.94739927349,commercial real estate transactions
0,-916.3237369758148,28,higher,0,married,0,M,civil servant,0,261111.21312961425,home renovation
0,385603.0411203265,63,average,1,widower/widow,2,F,pensioner,0,102001.2556603538,real estate
0,-7813.942226451337,49,average,1,married,0,M,companion,0,156281.95513843393,purchase of residential property
0,354218.71627235174,44,Average,1,married,0,F,pensioner,0,47457.979961153935,pursue higher education
1,,33,average,1,civil marriage,1,M,employee,1,,buying a rental property
0,-519.3467721350727,35,average,1,married,0,M,companion,1,325440.9009907523,additional education
2,-672.7917694809772,39,average,1,married,0,M,employee,0,111385.4898506854,buying a property
0,390154.5998523776,61,average,1,married,0,F,pensioner,0,145978.21268379653,education
0,-740.7219313585773,34,average,1,Single/not married,4,M,civil servant,0,202125.19129180023,buying a home for a family
0,,21,higher,0,Single/not married,4,M,employee,0,,car deal
0,-3236.795575343229,35,higher,0,married,0,M,companion,0,310574.4572374661,your car
0,-5484.416234752971,55,higher,0,married,0,F,employee,0,423422.7914922828,residential real estate construction
